LGA19_source,LGA19_target,date,time,region,n_trips
10050,10050,1/1/21,0,NSW,6575.150339
10050,10050,1/1/21,800,NSW,7294.190897
10050,10050,1/1/21,1600,NSW,6780.268225
10050,10050,2/1/21,0,NSW,6657.483934
10050,10050,2/1/21,800,NSW,7205.284124
10050,10050,2/1/21,1600,NSW,6732.607193
10050,10050,3/1/21,0,NSW,6778.337188
10050,10050,3/1/21,800,NSW,7440.893672
10050,10050,3/1/21,1600,NSW,6882.182831
10050,13340,1/1/21,0,NSW,41.86271388
10050,13340,1/1/21,800,NSW,53.79902466
10050,13340,1/1/21,1600,NSW,45.13739706
10050,13340,2/1/21,0,NSW,45.4149576
10050,13340,2/1/21,800,NSW,55.89528371
10050,13340,2/1/21,1600,NSW,48.67391565
10050,13340,3/1/21,0,NSW,46.25386004
10050,13340,3/1/21,800,NSW,57.2255548
10050,13340,3/1/21,1600,NSW,43.65815699
10050,27170,1/1/21,0,NSW,0
10050,27170,1/1/21,800,NSW,0
10050,27170,1/1/21,1600,NSW,0
10050,27170,2/1/21,0,NSW,0
10050,27170,2/1/21,800,NSW,0
10050,27170,2/1/21,1600,NSW,0
10050,27170,3/1/21,0,NSW,0
10050,27170,3/1/21,800,NSW,0
10050,27170,3/1/21,1600,NSW,0
10130,10130,1/1/21,0,NSW,1233.827689
10130,10130,1/1/21,800,NSW,1306.122736
10130,10130,1/1/21,1600,NSW,1233.195673
10130,10130,2/1/21,0,NSW,1193.934431
10130,10130,2/1/21,800,NSW,1353.537373
10130,10130,2/1/21,1600,NSW,1307.993706
10130,10130,3/1/21,0,NSW,1280.410799
10130,10130,3/1/21,800,NSW,1415.244392
10130,10130,3/1/21,1600,NSW,1376.976119
10130,14200,1/1/21,0,NSW,5.309260605
10130,14200,1/1/21,800,NSW,5.764780004
10130,14200,1/1/21,1600,NSW,5.474287589
10130,14200,2/1/21,0,NSW,4.763809924
10130,14200,2/1/21,800,NSW,6.075053195
10130,14200,2/1/21,1600,NSW,6.630394264
10130,14200,3/1/21,0,NSW,6.300340297
10130,14200,3/1/21,800,NSW,6.305285491
10130,14200,3/1/21,1600,NSW,5.459452007
10130,17650,1/1/21,0,NSW,11.79240292
10130,17650,1/1/21,800,NSW,26.00250117
10130,17650,1/1/21,1600,NSW,12.15980945
10130,17650,2/1/21,0,NSW,11.08497358
10130,17650,2/1/21,800,NSW,11.57918868
10130,17650,2/1/21,1600,NSW,11.78067162
10130,17650,3/1/21,0,NSW,11.34927031
10130,17650,3/1/21,800,NSW,14.19806646
10130,17650,3/1/21,1600,NSW,13.67192637
10250,10250,1/1/21,0,NSW,1424.498023
